Team,Group,point,net_score,total_score
Uruguay,A,9,9,9
Russia,A,4,-2,2
Saudi Arabia,A,4,-2,2
Egypt,A,0,-5,0
Spain,B,9,4,6
Morocco,B,4,0,3
Portugal,B,4,0,3
Iran,B,0,-4,0
Denmark,C,7,3,5
France,C,5,2,4
Australia,C,4,0,3
Peru,C,0,-5,0
Argentina,D,7,2,3
Croatia,D,5,2,4
Iceland,D,4,1,3
Nigeria,D,0,-5,0
Brazil,E,9,4,4
Switzerland,E,4,0,2
Serbia,E,2,-1,1
Costa Rica,E,1,-3,0
Germany,F,9,5,6
Sweden,F,6,0,3
Korea Republic,F,3,-2,3
Mexico,F,0,-3,0
Belgium,G,7,3,5
Tunisia,G,6,2,5
England,G,4,0,3
Panama,G,0,-5,0
Senegal,H,9,3,4
Japan,H,2,-1,2
Poland,H,2,-1,1
Colombia,H,2,-1,0
